bucket,stage_family,file,line,pattern,severity,match,meaning
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_full_foot_velocity.py,28,mujoco_free_joint_qw_index,high,"mj_qpos[3],",Likely MuJoCo quaternion scalar qw index.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_full_foot_velocity.py,91,direct_frame_or_foot_name_contract,low,"geom_id = mujoco.mj_name2id(mj_model, mujoco.mjtObj.mjOBJ_GEOM, mj_geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_full_foot_velocity.py,92,direct_frame_or_foot_name_contract,low,frame_id = pin_model.getFrameId(pin_frame_name),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_joint_order.py,70,direct_frame_or_foot_name_contract,low,"for frame_name in [""FR_foot"", ""FL_foot"", ""RR_foot"", ""RL_foot""]:",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_joint_order.py,71,direct_frame_or_foot_name_contract,low,fid = pin_model.getFrameId(frame_name),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,12,direct_frame_or_foot_name_contract,low,"""FR"": ""FR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,13,direct_frame_or_foot_name_contract,low,"""FL"": ""FL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,14,direct_frame_or_foot_name_contract,low,"""RR"": ""RR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,15,direct_frame_or_foot_name_contract,low,"""RL"": ""RL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,39,mujoco_free_joint_qw_index,high,"mj_qpos[3],",Likely MuJoCo quaternion scalar qw index.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,64,direct_frame_or_foot_name_contract,low,"geom_id = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,93,mujoco_leg_order_literal,high,"for leg in [""FR"", ""FL"", ""RR"", ""RL""]:",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_fk.py,99,direct_frame_or_foot_name_contract,low,frame_id = pin_model.getFrameId(pin_frame),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_jacobian.py,12,direct_frame_or_foot_name_contract,low,"""FR"": (""FR"", ""FR_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_jacobian.py,13,direct_frame_or_foot_name_contract,low,"""FL"": (""FL"", ""FL_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_jacobian.py,14,direct_frame_or_foot_name_contract,low,"""RR"": (""RR"", ""RR_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_jacobian.py,15,direct_frame_or_foot_name_contract,low,"""RL"": (""RL"", ""RL_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_jacobian.py,31,mujoco_free_joint_qw_index,high,"mj_qpos[3],",Likely MuJoCo quaternion scalar qw index.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_jacobian.py,92,direct_frame_or_foot_name_contract,low,"geom_id = mujoco.mj_name2id(mj_model, mujoco.mjtObj.mjOBJ_GEOM, mj_geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_mujoco_pinocchio_jacobian.py,96,direct_frame_or_foot_name_contract,low,frame_id = pin_model.getFrameId(pin_frame_name),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_inspect_pinocchio_model.py,49,mujoco_leg_order_literal,high,"for leg in [""FR"", ""FL"", ""RR"", ""RL""]:",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 2,scripts/stage02_validate_pinocchio_fk.py,12,direct_frame_or_foot_name_contract,low,"""FR"": ""FR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_validate_pinocchio_fk.py,13,direct_frame_or_foot_name_contract,low,"""FL"": ""FL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_validate_pinocchio_fk.py,14,direct_frame_or_foot_name_contract,low,"""RR"": ""RR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_validate_pinocchio_fk.py,15,direct_frame_or_foot_name_contract,low,"""RL"": ""RL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_validate_pinocchio_fk.py,33,mujoco_free_joint_qw_index,high,"mj_qpos[3],",Likely MuJoCo quaternion scalar qw index.
legacy_or_nonactive_script,Stage 2,scripts/stage02_validate_pinocchio_fk.py,98,direct_frame_or_foot_name_contract,low,fid = pin_model.getFrameId(frame_name),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 3,scripts/stage03_standing_pd_demo.py,9,mujoco_leg_order_literal,high,"FOOT_GEOMS = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 3,scripts/stage03_standing_pd_demo.py,50,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 3,scripts/stage03_standing_pd_demo.py,86,direct_frame_or_foot_name_contract,low,"trunk_id = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_BODY, ""trunk"")",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 4,scripts/stage04_gait_swing_foothold_demo.py,8,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 4,scripts/stage04_open_loop_trot_pd_demo.py,9,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 4,scripts/stage04_open_loop_trot_pd_demo.py,102,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 4,scripts/stage04_open_loop_trot_pd_demo.py,134,direct_frame_or_foot_name_contract,low,"trunk_id = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_BODY, ""trunk"")",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 5,scripts/stage05_centroidal_z_mpc.py,11,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 5,scripts/stage05_centroidal_z_mpc.py,59,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 5,scripts/stage05_contact_schedule_force_qp.py,11,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 5,scripts/stage05_contact_schedule_force_qp.py,45,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 5,scripts/stage05_contact_schedule_force_qp.py,253,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 5,scripts/stage05_horizon_force_qp.py,11,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 5,scripts/stage05_horizon_force_qp.py,68,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 5,scripts/stage05_horizon_force_qp.py,288,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 5,scripts/stage05_standing_contact_force_qp.py,11,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 5,scripts/stage05_standing_contact_force_qp.py,41,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 5,scripts/stage05_standing_contact_force_qp.py,195,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_force_sign_sanity_check.py,10,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 6,scripts/stage06_force_sign_sanity_check.py,46,direct_frame_or_foot_name_contract,low,"site_ids = [mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg) for leg in LEG_ORDER]",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,9,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,20,direct_frame_or_foot_name_contract,low,"""FR"": ""FR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,21,direct_frame_or_foot_name_contract,low,"""FL"": ""FL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,22,direct_frame_or_foot_name_contract,low,"""RR"": ""RR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,23,direct_frame_or_foot_name_contract,low,"""RL"": ""RL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,59,direct_frame_or_foot_name_contract,low,"gid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_GEOM, geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,85,mujoco_free_joint_qw_index,high,"mj_qpos[3],",Likely MuJoCo quaternion scalar qw index.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,115,direct_frame_or_foot_name_contract,low,geom_id = mujoco.mj_name2id(,Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,144,manual_tau_reorder,medium,tau_pin_act = np.zeros(12),Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,147,direct_frame_or_foot_name_contract,low,frame_id = pin_model.getFrameId(PIN_FOOT_FRAMES[leg]),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,167,manual_tau_reorder,medium,tau_pin_act[act_start:act_stop] += j_leg.T @ f_leg,Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,169,manual_tau_reorder,medium,return pin_tau_to_mujoco_order(tau_pin_act),Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,214,manual_tau_reorder,medium,tau_mj = compute_mujoco_jt_force_torque(,Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,220,manual_tau_reorder,medium,tau_pin = compute_pinocchio_jt_force_torque(,Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,227,manual_tau_reorder,medium,diff = tau_mj - tau_pin,Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,246,manual_tau_reorder,medium,print(tau_mj),Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,249,manual_tau_reorder,medium,"print(""tau_pinocchio_reordered_to_mujoco_order [FR, FL, RR, RL]:"")",Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,250,manual_tau_reorder,medium,print(tau_pin),Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,253,manual_tau_reorder,medium,"print(""diff = tau_mujoco - tau_pinocchio:"")",Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,262,manual_tau_reorder,medium,"f""tau={tau_mj[s]}, """,Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,263,manual_tau_reorder,medium,"f""norm={np.linalg.norm(tau_mj[s]):.9f}, """,Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,264,manual_tau_reorder,medium,"f""max_abs={np.max(np.abs(tau_mj[s])):.9f}""",Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,268,manual_tau_reorder,medium,"print(f""tau_shape = {tau_mj.shape}"")",Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,269,manual_tau_reorder,medium,"print(f""tau_norm = {np.linalg.norm(tau_mj):.9f}"")",Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,270,manual_tau_reorder,medium,"print(f""tau_max_abs = {np.max(np.abs(tau_mj)):.9f}"")",Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_jacobian_transpose_torque.py,274,manual_tau_reorder,medium,"if tau_mj.shape == (12,) and np.linalg.norm(diff) < 1e-8:",Possible manual torque or joint order mapping site.
legacy_or_nonactive_script,Stage 6,scripts/stage06_qp_force_to_torque.py,13,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 6,scripts/stage06_qp_force_to_torque.py,50,direct_frame_or_foot_name_contract,low,"exact_id = mujoco.mj_name2id(model, obj_type, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 6,scripts/stage06_qp_torque_support_test.py,14,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 6,scripts/stage06_qp_torque_support_test.py,69,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_mode_sequence_ramp_test.py,14,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_mode_sequence_ramp_test.py,89,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_mode_torque_ramp_check.py,11,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_mode_transition_check.py,11,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_qp.py,16,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_qp.py,94,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_scale_sweep.py,16,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_scale_sweep.py,65,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_scaled_support_test.py,14,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_scaled_support_test.py,70,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_support_test.py,14,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_contact_schedule_wbc_support_test.py,64,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_base_accel_task_qp.py,15,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_base_accel_task_qp.py,20,mujoco_leg_order_literal,high,"""all_stance"": [""FR"", ""FL"", ""RR"", ""RL""],",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_base_accel_task_qp.py,75,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_base_vertical_accel_task_qp.py,15,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_base_vertical_accel_task_qp.py,20,mujoco_leg_order_literal,high,"""all_stance"": [""FR"", ""FL"", ""RR"", ""RL""],",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_base_vertical_accel_task_qp.py,75,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_dynamics_qp.py,15,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_dynamics_qp.py,20,mujoco_leg_order_literal,high,"""all_stance"": [""FR"", ""FL"", ""RR"", ""RL""],",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_dynamics_qp.py,69,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_stance_constraint_qp.py,15,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_stance_constraint_qp.py,20,mujoco_leg_order_literal,high,"""all_stance"": [""FR"", ""FL"", ""RR"", ""RL""],",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_stance_constraint_qp.py,71,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_swing_accel_task_qp.py,15,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_swing_accel_task_qp.py,83,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_torque_ramp_check.py,11,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_torque_reconstruction_check.py,15,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_torque_reconstruction_check.py,79,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_torque_sequence_support_test.py,14,mujoco_leg_order_literal,high,"LEG_ORDER = [""FR"", ""FL"", ""RR"", ""RL""]",Hard-coded MuJoCo leg order.
legacy_or_nonactive_script,Stage 7,scripts/stage07_full_wbc_torque_sequence_support_test.py,85,direct_frame_or_foot_name_contract,low,"sid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_SITE, leg)",Possible direct foot name/frame contract use.
